1099709127863996416,2019-02-24 16:34:22,b'RT @AngusMacNeilSNP: Goodness truth emerging as Brexiteer says a Brexit option will make food more expensive!! \xf0\x9f\x91\x87 https://t.co/MYxQLA7Uxx'
1099709127771803653,2019-02-24 16:34:22,"b'""So Help the U.K.: Archbishop Urges Public Prayer After Brexit"" by ILIANA MAGRA via NYT The New York Times https://t.co/j97QI5AqQV'"
1099709126509252614,2019-02-24 16:34:22,"b'""So Help the U.K.: Archbishop Urges Public Prayer After Brexit"" by ILIANA MAGRA via NYT The New York Times https://t.co/i6sIU8GeyZ'"
1099709125334888448,2019-02-24 16:34:21,"b""@ropoem I'd love to get out of Brexit Britain. I'd love to get out of Britain full stop... Unfortunately we have th\xe2\x80\xa6 https://t.co/CKqqBR3xwm"""
1099709124680523777,2019-02-24 16:34:21,"b'RT @Aiannucci: After the contempt May today showed for Parliament, it\xe2\x80\x99s up to Parliament to treat that behaviour with equal contempt. Time\xe2\x80\xa6'"
1099709123225051137,2019-02-24 16:34:21,b'RT @RobertCPalmer13: Now that the Court of Appeal (in the @UKEUchallenge) has given the green light for corrupt power politics to usurp dem\xe2\x80\xa6'
1099709122566647808,2019-02-24 16:34:21,"b'""So Help the U.K.: Archbishop Urges Public Prayer After Brexit"" by ILIANA MAGRA via NYT The New York Times https://t.co/rC9GG6K0cE'"
1099709122029731846,2019-02-24 16:34:20,b'Theresa May delays Brexit vote again\n\nhttps://t.co/Lt82xyEwvY'
1099709121820065793,2019-02-24 16:34:20,"b'""So Help the U.K.: Archbishop Urges Public Prayer After Brexit"" by ILIANA MAGRA via NYT The New York Times https://t.co/a9yvyOunFF'"
1099709118946906115,2019-02-24 16:34:20,b'RT @darrengrimes_: Sarah Wollaston embodies everything that is wrong with our political class:\n\n\xe2\x86\x92 called for a referendum\n\xe2\x86\x92 campaigned for\xe2\x80\xa6'
1099709116535263232,2019-02-24 16:34:19,"b'""So Help the U.K.: Archbishop Urges Public Prayer After Brexit"" by ILIANA MAGRA via NYT The New York Times https://t.co/cDdJSqEaGG'"
1099709115826405378,2019-02-24 16:34:19,"b'RT @Aiannucci: After the contempt May today showed for Parliament, it\xe2\x80\x99s up to Parliament to treat that behaviour with equal contempt. Time\xe2\x80\xa6'"
1099709114765189120,2019-02-24 16:34:19,"b""RT @paulmasonnews: Theresa May pulls this week's vote on Brexit - showing contempt for Parliamentary democracy and our European partners. H\xe2\x80\xa6"""
1099709114115084288,2019-02-24 16:34:19,b'RT @Lewisno1fan: @mywonderfulbest @guyverhofstadt @jeremycorbyn @Europarl_EN And yet people are constantly screaming at him to stop Brexit.\xe2\x80\xa6'
1099709113163042818,2019-02-24 16:34:18,"b""RT @Doozy_45: Gove 'without any shame' confirms food prices will rise quite drastically. Didn't hear him say this in Ref campaign, did you?\xe2\x80\xa6"""
1099709112730951680,2019-02-24 16:34:18,b'RT @radiobakker: Volgens het staatsomroep-eriaanse @Nieuwsuur is het leeglopen van Labour \na l l e m a a l de schuld van #brexit \xf0\x9f\x91\x87 https://\xe2\x80\xa6'
1099709109295828996,2019-02-24 16:34:17,"b'""So Help the U.K.: Archbishop Urges Public Prayer After Brexit"" by ILIANA MAGRA via NYT The New York Times https://t.co/bKTegeieYv'"
1099709107676823559,2019-02-24 16:34:17,b'RT @aljwhite: Every media person who thinks they\xe2\x80\x99ve solved Brexit on their skiing holiday should be made to transport a lorry full of insul\xe2\x80\xa6'
1099709107165163520,2019-02-24 16:34:17,"b'RT @PrivateEyeNews: The latest edition of Private Eye is on sale now, priced \xc2\xa32, or 0.00001 per cent of a Brexit ferry contract. https://t.\xe2\x80\xa6'"
1099709105596440577,2019-02-24 16:34:17,b'RT @brylip: Will Hutton on Japanese response to #Brexit  https://t.co/CgOhPQ3u2S'
1099709103222460421,2019-02-24 16:34:16,"b""RT @Femi_Sorry: I'm out of words for Theresa May.\n\nShe concluded the deal in November.\n\nShe knew it would be neither approved nor changed i\xe2\x80\xa6"""
1099709102442405888,2019-02-24 16:34:16,"b'RT @thomasbrake: Cynical #Brexit blackmail by @theresa_may!\n\nA meaningful vote by 12th March, with just 17 days to go before crashing out o\xe2\x80\xa6'"
